id,date,app_version,records,nu_pdfs,pdf_split,nu_afp,afp_split,nu_ctrl,start,finish,elapsed_time,mig_nu_pdf,mig_nu_ctrl,mig_start,mig_finish,mig_elapsed,comments
1,2020-09-17,1.6.75,3500,3500,"2.0M-90001000.DOC011PB202009101.03_PDF.tar 865M-90001000.DOC011PB202009101.02_PDF.tar 1.3G-90001000.DOC011PB202009101.01_PDF.tar",2501,"1.9M-90001000.DOC011PB202009101.03.afp 21M-90001000.DOC011PB202009101.02.afp 62M-90001000.DOC011PB202009101.01.afp",3,"","",00:00:00,3500,3,"","",00:00:00,
2,2020-09-19,1.6.75,3500,3498,"2.0M-90001000.DOC011PB202009191.03_PDF.tar 863M-90001000.DOC011PB202009191.02_PDF.tar 1.3G-90001000.DOC011PB202009191.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202009191.03.afp 21M-90001000.DOC011PB202009191.02.afp 62M-90001000.DOC011PB202009191.01.afp",3,08:07:26.875,15:24:43.996,07:17:17,3498,3,15:30:54.532,15:31:40.754,00:00:46,
3,2020-09-23,1.6.75.1,3500,3500,"2.0M-90001000.DOC011PB202009231.03_PDF.tar 865M-90001000.DOC011PB202009231.02_PDF.tar 1.3G-90001000.DOC011PB202009231.01_PDF.tar",2501,"1.9M-90001000.DOC011PB202009231.03.afp 21M-90001000.DOC011PB202009231.02.afp 62M-90001000.DOC011PB202009231.01.afp",3,07:35:32.145,14:55:42.089,07:20:10,3500,3,15:01:29.376,15:02:14.758,00:00:45,
4,2020-10-30,1.6.81.4,3500,3499,"2.0M-90001000.DOC011PB202010301.03_PDF.tar 865M-90001000.DOC011PB202010301.02_PDF.tar 1.3G-90001000.DOC011PB202010301.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202010301.03.afp 21M-90001000.DOC011PB202010301.02.afp 62M-90001000.DOC011PB202010301.01.afp",3,05:41:09.969,13:20:33.626,07:39:24,3499,3,13:27:24.641,13:28:15.327,00:00:51,
5,2020-12-03,1.6.92,3500,3,"2.0M-90001000.DOC011PB202012031.03_PDF.tar 172M-90001000.DOC011PB202012031.01_PDF.tar 185M-90001000.DOC011PB202012031.02_PDF.tar",2500,"21M-90001000.DOC011PB202012031.02.afp 62M-90001000.DOC011PB202012031.01.afp 1.9M-90001000.DOC011PB202012031.03.afp",1,16:11:19.982,23:38:36.700,07:27:17,255,1,"","",00:00:00,
6,2020-12-31,1.6.92.2,3500,3499,"2.0M-90001000.DOC011PB202012311.03_PDF.tar 865M-90001000.DOC011PB202012311.02_PDF.tar 1.3G-90001000.DOC011PB202012311.01_PDF.tar",2500,"21M-90001000.DOC011PB202012311.02.afp 62M-90001000.DOC011PB202012311.01.afp 1.9M-90001000.DOC011PB202012311.03.afp",3,"",00:19:51.285,00:19:51,3499,3,00:26:31.757,00:27:16.575,00:00:45,
7,2021-01-20,1.6.97,3500,3499,"2.0M-90001000.DOC011PB202101201.03_PDF.tar 865M-90001000.DOC011PB202101201.02_PDF.tar 1.3G-90001000.DOC011PB202101201.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202101201.03.afp 21M-90001000.DOC011PB202101201.02.afp 62M-90001000.DOC011PB202101201.01.afp",3,"",00:51:22.400,00:51:22,3499,3,/data/britebill/logs/britebill.log:00:57:48.320,00:58:37.847,"",
8,2021-02-12,1.6.101.2,3500,3499,"2.0M-90001000.DOC011PB202102121.03_PDF.tar 865M-90001000.DOC011PB202102121.02_PDF.tar 1.3G-90001000.DOC011PB202102121.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202102121.03.afp 21M-90001000.DOC011PB202102121.02.afp 63M-90001000.DOC011PB202102121.01.afp",3,4,17:17:59.242,13:17:59,3499,3,2,17:25:40.151,15:25:40,
9,2021-03-15,1.6.112,3500,3499,"2.0M-90001000.DOC011PB202103151.03_PDF.tar 899M-90001000.DOC011PB202103151.02_PDF.tar 1.4G-90001000.DOC011PB202103151.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202103151.03.afp 23M-90001000.DOC011PB202103151.02.afp 73M-90001000.DOC011PB202103151.01.afp",3,6,14:27:22.406,08:27:22,3499,3,5,14:34:06.241,09:34:06,
10,2021-04-21,1.6.118,3500,3499,"2.0M-90001000.DOC011PB202104211.03_PDF.tar 898M-90001000.DOC011PB202104211.02_PDF.tar 1.4G-90001000.DOC011PB202104211.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202104211.03.afp 23M-90001000.DOC011PB202104211.02.afp 73M-90001000.DOC011PB202104211.01.afp",3,0,15:34:09.121,15:34:09,0,3,5,"",19:00:00,
11,2021-12-09,1.6.164,3500,3499,"2.1M-90001000.DOC011PB202112091.03_PDF.tar 933M-90001000.DOC011PB202112091.02_PDF.tar 1.4G-90001000.DOC011PB202112091.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202112091.03.afp 26M-90001000.DOC011PB202112091.02.afp 81M-90001000.DOC011PB202112091.01.afp",3,7,20:35:14.217,13:35:14,0,3,4,20:42:30.856,16:42:30,
12,2021-12-13,1.6.164.1,3500,3499,"2.1M-90001000.DOC011PB202112091.03_PDF.tar 933M-90001000.DOC011PB202112091.02_PDF.tar 1.4G-90001000.DOC011PB202112091.01_PDF.tar",2500,"1.9M-90001000.DOC011PB202112091.03.afp 26M-90001000.DOC011PB202112091.02.afp 81M-90001000.DOC011PB202112091.01.afp",3,6,"",18:00:00,0,3,"","",00:00:00,
13,2021-12-20,1.6.164.2,3500,3499,"2.1M-90001000.DOC011PB202112201.03_PDF.tar 933M-90001000.DOC011PB202112201.02_PDF.tar 1.4G-90001000.DOC011PB202112201.01_PDF.tar",2500,"26M-90001000.DOC011PB202112201.02.afp 81M-90001000.DOC011PB202112201.01.afp 1.9M-90001000.DOC011PB202112201.03.afp",3,5,07:43:11.450,02:43:11,0,3,1,"",23:00:00,
14,2021-12-28,1.6.164.2,3500,3499,"2.1M-90001000.DOC011PB202112281.04_PDF.tar 180M-90001000.DOC011PB202112281.03_PDF.tar 344M-90001000.DOC011PB202112281.05_PDF.tar 498M-90001000.DOC011PB202112281.01_PDF.tar 588M-90001000.DOC011PB202112281.06_PDF.tar 726M-90001000.DOC011PB202112281.02_PDF.tar",2500,"1.9M-90001000.DOC011PB202112281.04.afp 11M-90001000.DOC011PB202112281.03.afp 30M-90001000.DOC011PB202112281.01.afp 43M-90001000.DOC011PB202112281.02.afp 26M-90001000.DOC011PB202112281.05.afp",6,5,09:50:47.721,04:50:47,0,6,3,09:54:46.094,06:54:46,
15,2022-01-18,1.6.164,3500,6041,"656M-90001000.DOC011PB202201181.02_PDF.tar 1.7G-90001000.DOC011PB202201181.03_PDF.tar 1.7G-90001000.DOC011PB202201181.01_PDF.tar",5854,"90M-90001000.DOC011PB202201181.01.afp 87M-90001000.DOC011PB202201181.03.afp 44M-90001000.DOC011PB202201181.02.afp",3,8,19:32:30.361,11:32:30,0,3,2,19:42:55.483,17:42:55,"Cycle 2021-12-01"
16,2022-01-25,1.6.171,3500,0,"618M-90001000.DOC011PB202201251.01_PDF.tar 559M-90001000.DOC011PB202201251.02_PDF.tar 690M-90001000.DOC011PB202201251.03_PDF.tar",5854,"49M-90001000.DOC011PB202201251.02.afp 95M-90001000.DOC011PB202201251.03.afp 97M-90001000.DOC011PB202201251.01.afp",0,8,10:56:59.533,02:56:59,6041,0,"","",00:00:00,"Cycle 2021-12-01"
17,2022-01-25,1.6.171,6041,6041,"679M-90001000.DOC011PB202201251.02_PDF.tar 1.7G-90001000.DOC011PB202201251.01_PDF.tar 1.8G-90001000.DOC011PB202201251.03_PDF.tar",5854,"49M-90001000.DOC011PB202201251.02.afp 95M-90001000.DOC011PB202201251.03.afp 97M-90001000.DOC011PB202201251.01.afp",3,1,10:56:59.533,09:56:59,"Mig_pdf ASW_test",3,1,11:08:11.316,10:08:11,"Cycle 2021-12-01"
18,2022-01-25,1.6.171,6041,6041,"679M-90001000.DOC011PB202201251.02_PDF.tar 1.7G-90001000.DOC011PB202201251.01_PDF.tar 1.8G-90001000.DOC011PB202201251.03_PDF.tar",5854,"49M-90001000.DOC011PB202201251.02.afp 95M-90001000.DOC011PB202201251.03.afp 97M-90001000.DOC011PB202201251.01.afp",3,10:30:53.918,10:56:59.533,00:26:06,"Mig_pdf ASW_test",3,11:05:15.232,11:08:11.316,00:02:56,"Cycle 2021-12-01"
19,2022-01-25,1.6.171,6041,6041,"679M-90001000.DOC011PB202201251.02_PDF.tar 1.7G-90001000.DOC011PB202201251.01_PDF.tar 1.8G-90001000.DOC011PB202201251.03_PDF.tar",5854,"49M-90001000.DOC011PB202201251.02.afp 95M-90001000.DOC011PB202201251.03.afp 97M-90001000.DOC011PB202201251.01.afp",3,10:30:53.918,10:56:59.533,00:26:06,"Mig_pdf ASW_test",3,11:05:15.232,11:08:11.316,00:02:56,"Cycle 2021-12-01"
20,2022-01-26,1.6.171,6041,3538,"30M-90001000.DOC011PB202201261.01_PDF.tar 760M-90001000.DOC011PB202201261.03_PDF.tar 1.3G-90001000.DOC011PB202201261.02_PDF.tar",3497,"40M-90001000.DOC011PB202201261.03.afp 99M-90001000.DOC011PB202201261.02.afp",3,"",09:21:14.273,09:21:14,"Mig_pdf ASW_test",3,"",09:30:34.236,09:30:34,"Cycle 2021-12-01"
21,2022-01-26,1.6.171,6041,3538,"30M-90001000.DOC011PB202201261.01_PDF.tar 760M-90001000.DOC011PB202201261.03_PDF.tar 1.3G-90001000.DOC011PB202201261.02_PDF.tar",3497,"40M-90001000.DOC011PB202201261.03.afp 99M-90001000.DOC011PB202201261.02.afp",3,"",09:21:14.273,09:21:14,"Mig_pdf ASW_test",3,"",09:30:34.236,09:30:34,"Cycle 2021-12-01"
22,2022-01-26,1.6.171,6041,3538,"30M-90001000.DOC011PB202201261.01_PDF.tar 760M-90001000.DOC011PB202201261.03_PDF.tar 1.3G-90001000.DOC011PB202201261.02_PDF.tar",3497,"40M-90001000.DOC011PB202201261.03.afp 99M-90001000.DOC011PB202201261.02.afp",3,09:08:42.171,09:21:14.273,00:12:32,"Mig_pdf ASW_test",3,09:28:51.421,09:30:34.236,00:01:43,"Cycle 2021-12-01"
23,2022-01-26,1.6.171,6041,3538,"30M-90001000.DOC011PB202201261.01_PDF.tar 760M-90001000.DOC011PB202201261.03_PDF.tar 1.3G-90001000.DOC011PB202201261.02_PDF.tar",3497,"40M-90001000.DOC011PB202201261.03.afp 99M-90001000.DOC011PB202201261.02.afp",3,09:08:42.171,09:21:14.273,00:12:32,3538,3,09:28:51.421,09:30:34.236,00:01:43,"Cycle 2021-12-01"
24,2022-01-26,1.6.171,6041,6121,4.4G-90001000.DOC011PB202201262.01_PDF.tar,6121,235M-90001000.DOC011PB202201262.01.afp,1,"13:05:18.060 09:08:42.171",09:21:14.273,"",6121,1,"13:43:32.197 09:28:51.421","09:30:34.236 13:46:26.830","","Cycle 2021-12-01"
